CODIGO OFICINA;DENOMINACION OFICINA;CODIGO CECO;CODIGO OFICINA DIRECTA;CODIGO OFICINA DELEGADA;CODIGO DT;DENOMINACION DT;CODIGO DGT;DENOMINACION DGT;CODIGO SUBCENTRAL;DENOMINACION SUBCENTRAL;CLAVE DE PRODUCCION;CODIGO TIPO OFICINA;DENOMINACION TIPO DE OFICINA;CODIGO TIPO VIA;DENOMINACION TIPO VIA;DENOMINACION VIA;NUMERO VIA;COMPLEMENTO DENOMINACION VIA;CODIGO POSTAL;CODIGO PROVINCIA;DENOMINACION PROVINCIA;CODIGO LOCALIDAD;DENOMINACION LOCALIDAD;TELEFONOS OFICINA1;TELEFONOS OFICINA2;TELEFONOS OFICINA3;FAX OFICINA;EMAIL OFICINA;HORARIO_NORMAL_W;HORARIO_NORMAL_V;IND_HORARIO_NORMAL_S;HORARIO_NORMAL_S;HORARIO_VERANO_W;HORARIO_VERANO_V;IND_HORARIO_VERANO_S;HORARIO_VERANO_S;PERIODO_VERANO_S_N;PERIODO_INICIO_VERANO;PERIODO_FIN_VERANO;HORARIO_OBSERVACIONES;HORARIO_OBSERVACIONES_VERANO;CODIGO DEL RESPONSABLE;NOMBRE DEL RESPONSABLE;NUUMA RESPONSABLE;PERFIL RESPONSABLE;EMAIL RESPONSABLE;CODIGO DEL RESPONSABLE2;NOMBRE DEL RESPONSABLE2;NUUMA RESPONSABLE2;PERFIL RESPONSABLE2;EMAIL RESPONSABLE2;NOMBRE_MIEMBRO1;NUUMA_MIEMBRO1;PERFIL_MIEMBRO1;EMAIL_MIEMBRO1;NOMBRE_MIEMBRO2;NUUMA_MIEMBRO2;PERFIL_MIEMBRO2;EMAIL_MIEMBRO2;NOMBRE_MIEMBRO3;NUUMA_MIEMBRO3;PERFIL_MIEMBRO3;EMAIL_MIEMBRO3;NOMBRE_MIEMBRO4;NUUMA_MIEMBRO4;PERFIL_MIEMBRO4;EMAIL_MIEMBRO4;NOMBRE_MIEMBRO5;NUUMA_MIEMBRO5;PERFIL_MIEMBRO5;EMAIL_MIEMBRO5
L10175;BURGOS - VICENTE ALEXANDRE;0927;0933;0927;47;VALLADOLID-BURGOS-PALENCIA;07;CENTRO;47;VALLADOLID-BURGOS-PALENCIA;5248447;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;VICENTE ALEXANDRE;5;;09006;09;BURGOS;09006;BURGOS;947244042;;638788639;947231354;dejosel@mapfre.com;09:00 14:00 16:00 20:00;09:00 14:00 16:00 20:00;S;10:00 13:00;09:00 14:00 17:00 19:00;09:00 14:00 17:00 19:00;; ;S;15-JUN-2018;15-SEP-2018;;;112435;COVASA SIL JYJ, S.L.  ;;Responsable;;;;;Responsable2;;CELIA CUESTA BALLESTEROS;CBCELI1;NO TITULAR;CBCELI1@MAPFRE.COM;CARMELO RAMOS DE LOS RIOS;CARRAMO;NO TITULAR;CARRAMO@mapfre.com;;;;;;;;;;;;
L10175;BURGOS - VICENTE ALEXANDRE;0927;0933;0927;47;VALLADOLID-BURGOS-PALENCIA;07;CENTRO;47;VALLADOLID-BURGOS-PALENCIA;5248447;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;VICENTE ALEXANDRE;5;;09006;09;BURGOS;09006;BURGOS;947244042;;638788639;947231354;dejosel@mapfre.com;09:00 14:00 16:00 20:00;09:00 14:00 16:00 20:00;S;10:00 13:00;09:00 14:00 17:00 19:00;09:00 14:00 17:00 19:00;; ;S;15-JUN-2018;15-SEP-2018;;;113781;JOSE LUIS DE LA HERA SILVA;DEJOSEL;Responsable;DEJOSEL@mapfre.com;;;;Responsable2;;CELIA CUESTA BALLESTEROS;CBCELI1;NO TITULAR;CBCELI1@MAPFRE.COM;CARMELO RAMOS DE LOS RIOS;CARRAMO;NO TITULAR;CARRAMO@mapfre.com;;;;;;;;;;;;
L10195;VINAROZ - Urb. PABLO RUIZ PICASSO;9655;1236;9655;12;CASTELLON-VALENCIA PROVINCIA;05;ESTE;12;CASTELLON-VALENCIA PROVINCIA;5232173;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;PABLO RUIZ PICASSO;12;;12500;12;CASTELLON/CASTELLO;12500;VINAROZ;964402127;;644360231;964407013;fcamos@mapfre.com;09:00 14:00 17:00 20:00;09:00 14:00 16:00 19:00;; ;   ;   ;; ;N;;;;;72619;FRANCISCO CAMOS FERRE;FCAMOS;Responsable;FCAMOS@mapfre.com;;;;Responsable2;;OSCAR JUANEDA JUANES;OSJUANE;NO TITULAR;OSJUANE@mapfre.com;;;;;;;;;;;;;;;;
L10196;SANT JOAN DE MORO;9657;1228;9657;12;CASTELLON-VALENCIA PROVINCIA;05;ESTE;12;CASTELLON-VALENCIA PROVINCIA;5231073;OFICINAS TRADICIONALES;DELEGADA;PZA;PLAZA;AJUNTAMENT;2;;12130;12;CASTELLON/CASTELLO;12130;SANT JOAN DE MORO;964657330;;677561129;964657357;renauff@mapfre.com;09:30 13:30 18:00 20:00;09:30 13:30 18:00 20:00;; ;09:30 13:30  ;09:30 13:30  ;; ;N;;;;;9247;FRANCISCO RENAU FEBRER;RENAUFF;Responsable;RENAUFF@mapfre.com;;;;Responsable2;;JOSEFA GARCÍA BLASCO;JGAR013;NO TITULAR;JGAR013@mapfre.com;;;;;;;;;;;;;;;;
L10215;VALENCIA - Urb. PRIMADO REIG;5667;4618;5667;46;VALENCIA - ALBACETE;05;ESTE;46;VALENCIA - ALBACETE;5231923;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;PRIMADO REIG;97;;46020;46;VALENCIA/VALÈNCIA;46020;VALENCIA;963603778;;;963606974;jvcasan@mapfre.com;09:00 14:00 17:00 20:00;09:00 14:00 17:00 20:00;; ;09:00 14:00  ;09:00 14:00  ;; ;N;;;;;63703;CASANOVA MEDIACION DE SEGUROSGENERALES,  S.L. ;;Responsable;;;;;Responsable2;;JAVIER CASANOVA SERNEGUET;CASANJA;NO TITULAR;CASANJA@mapfre.com;;;;;;;;;;;;;;;;
L10215;VALENCIA - Urb. PRIMADO REIG;5667;4618;5667;46;VALENCIA - ALBACETE;05;ESTE;46;VALENCIA - ALBACETE;5231923;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;PRIMADO REIG;97;;46020;46;VALENCIA/VALÈNCIA;46020;VALENCIA;963603778;;;963606974;jvcasan@mapfre.com;09:00 14:00 17:00 20:00;09:00 14:00 17:00 20:00;; ;09:00 14:00  ;09:00 14:00  ;; ;N;;;;;72640;JUAN VICENTE CASANOVA SERNEGUET;JVCASAN;Responsable;JVCASAN@mapfre.com;;;;Responsable2;;JAVIER CASANOVA SERNEGUET;CASANJA;NO TITULAR;CASANJA@mapfre.com;;;;;;;;;;;;;;;;
L10235;VALENCIA - Urb. RIO NERVIO;5665;4690;5665;46;VALENCIA - ALBACETE;05;ESTE;46;VALENCIA - ALBACETE;5232492;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;RIO NERVION;19;;46025;46;VALENCIA/VALÈNCIA;46025;VALENCIA;963689646;658967772;617423688;963667280;ALBESAL@mapfre.com;09:00 14:00 16:00 19:00;09:00 14:00 16:00 19:00;; ;09:00 14:00  ;09:00 14:00  ;; ;S;01-AGO-2018;31-AGO-2018;;;94991;SALVADOR ALBERT CONTELL;ALBESAL;Responsable;ALBESAL@mapfre.com;;;;Responsable2;;SERGIO ARLANDIS MINGUET;ARLANDS;NO TITULAR;ARLANDS@mapfre.com;ANTONIO OSORIO ESTALRICH;ANOSORI;NO TITULAR;ANOSORI@mapfre.com;;;;;;;;;;;;
L10235;VALENCIA - Urb. RIO NERVIO;5665;4690;5665;46;VALENCIA - ALBACETE;05;ESTE;46;VALENCIA - ALBACETE;5232492;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;RIO NERVION;19;;46025;46;VALENCIA/VALÈNCIA;46025;VALENCIA;963689646;658967772;617423688;963667280;ALBESAL@mapfre.com;09:00 14:00 16:00 19:00;09:00 14:00 16:00 19:00;; ;09:00 14:00  ;09:00 14:00  ;; ;S;01-AGO-2018;31-AGO-2018;;;190268;ALBERT CONTELL SALVADOR RAMON217616 J, S  .L.N.E. ;;Responsable;;;;;Responsable2;;SERGIO ARLANDIS MINGUET;ARLANDS;NO TITULAR;ARLANDS@mapfre.com;ANTONIO OSORIO ESTALRICH;ANOSORI;NO TITULAR;ANOSORI@mapfre.com;;;;;;;;;;;;
L10275;FORTUNA;3087;0035;3087;03;ALICANTE-MURCIA;05;ESTE;03;ALICANTE-MURCIA;5256598;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;SALVADOR ALLENDE;33;;30620;30;MURCIA;30620;FORTUNA;968687154;;;968686249;jatoral@mapfre.com;09:00 14:00 17:00 20:00;09:00 14:00 17:00 20:00;; ;   ;   ;; ;N;;;;;11618;JOSE ANTONIO TORAL LOPEZ;JATORAL;Responsable;jatoral@mapfre.com;;;;Responsable2;;MARIA ISABEL VIVES MENDEZ;MIVIVE1;NO TITULAR;mivive1@mapfre.com;TAMAR VIVES RAMIREZ;TAMARVI;NO TITULAR;TAMARVI@mapfre.com;;;;;;;;;;;;
L10275;FORTUNA;3087;0035;3087;03;ALICANTE-MURCIA;05;ESTE;03;ALICANTE-MURCIA;5256598;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;SALVADOR ALLENDE;33;;30620;30;MURCIA;30620;FORTUNA;968687154;;;968686249;jatoral@mapfre.com;09:00 14:00 17:00 20:00;09:00 14:00 17:00 20:00;; ;   ;   ;; ;N;;;;;294007;TORAL MEDIACION Y GESTION, SL  ;;Responsable;;;;;Responsable2;;MARIA ISABEL VIVES MENDEZ;MIVIVE1;NO TITULAR;mivive1@mapfre.com;TAMAR VIVES RAMIREZ;TAMARVI;NO TITULAR;TAMARVI@mapfre.com;;;;;;;;;;;;
L10276;CEHEGIN - Urb. CRA. MURCIA;5684;3069;5684;03;ALICANTE-MURCIA;05;ESTE;03;ALICANTE-MURCIA;5231140;OFICINAS TRADICIONALES;DELEGADA;;;CARRETERA DE MURCIA;45;;30430;30;MURCIA;30430;CEHEGIN;968740106;;648742154;968742527;adepaco@mapfre.com;09:30 14:00 17:30 20:30;09:30 14:00 17:30 20:30;; ;   ;   ;; ;N;;;;;3534;ANTONIO DE PACO GUIRAO;ADEPACO;Responsable;adepaco@mapfre.com;;;;Responsable2;;;;;;;;;;;;;;;;;;;;;
L10295;BADAJOZ - Urb. CARDENAL CISNEROS;0621;0616;0621;06;EXTREMADURA;03;SUROESTE;06;EXTREMADURA;5232084;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;Argüello Carvajal;26;Esquina Cardenal Cisneros;06007;06;BADAJOZ;06007;BADAJOZ;924272034;924272034;;924277448;cruzjl@mapfre.com;09:00 14:00 17:00 20:00;09:00 14:00 17:00 20:00;; ;10:00 14:00 17:30 20:30;10:00 14:00 17:30 20:30;; ;N;;;;;13327;JUAN LUIS CRUZ NAVARRO;CRUZJL;Responsable;cruzjl@mapfre.com;;;;Responsable2;;MARIO CRUZ NAVARRO;MACRUZN;NO TITULAR;MACRUZN@mapfre.com;;;;;;;;;;;;;;;;
L10296;VILLANUEVA DEL FRESNO;0700;0612;0700;06;EXTREMADURA;03;SUROESTE;06;EXTREMADURA;5232085;OFICINAS TRADICIONALES;DELEGADA;;;CANDIDO FERNANDEZ;1;;06110;06;BADAJOZ;06110;VILLANUEVA DEL FRESNO;924427280;;647871895;924427280;patguer@mapfre.com;10:00 14:00 17:00 20:00;10:00 14:00 17:00 20:00;; ;10:00 14:00 17:00 20:00;10:00 14:00 17:00 20:00;; ;N;;;;;18553;PATRICIA GUERRERO JIMENEZ;PATGUER;Responsable;patguer@mapfre.com;;;;Responsable2;;JUAN JOSE BAÑAS CONTADOR;JBANAS;NO TITULAR;JBANAS@mapfre.com;;;;;;;;;;;;;;;;
L10315;PLAYA BLANCA;6868;6786;6868;35;LAS PALMAS;09;CANARIAS;35;LAS PALMAS;5280209;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;CANARIAS;;ESQ. C/ LA TOSCA, 16;35580;35;LAS PALMAS;35580;PLAYA BLANCA;928349558;;;928518651;tmanto2@mapfre.com;09:00 13:00 16:00 19:00;09:00 13:00 16:00 19:00;; ;   ;   ;; ;N;;;;;338462;ANTONIO TORRALBA MALLO;TMANTO2;Responsable;tmanto2@mapfre.com;;;;Responsable2;;GAZMIRA DAURA SUAREZ HERNANDEZ;GAZMIRA;NO TITULAR;gazmira@mapfre.com;;;;;;;;;;;;;;;;
L10316;GIRONA - ELS QUIMICS;1771;1716;1771;54;CATALUÑA NORTE;02;CATALUÑA-BALEARES;54;CATALUÑA NORTE;5232741;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;RUTLLA;250;;17003;17;GERONA/GIRONA;17003;GIRONA;972413620;;670935776;972413621;esmacia@mapfre.com;09:30 14:00 16:00 19:30;09:30 14:00 16:00 19:30;; ;   ;   ;; ;N;;;;;201977;ENRIC GALLIFA PUIG;GENRIC;Responsable;GENRIC@mapfre.com;;;;Responsable2;;RICARD VERNEDAS I LAPKO;RICARDV;NO TITULAR;ricardv@mapfre.com;;;;;;;;;;;;;;;;
L10316;GIRONA - ELS QUIMICS;1771;1716;1771;54;CATALUÑA NORTE;02;CATALUÑA-BALEARES;54;CATALUÑA NORTE;5232741;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;RUTLLA;250;;17003;17;GERONA/GIRONA;17003;GIRONA;972413620;;670935776;972413621;esmacia@mapfre.com;09:30 14:00 16:00 19:30;09:30 14:00 16:00 19:30;; ;   ;   ;; ;N;;;;;230746;ENTROPIA ASSESSORS S L  ;;Responsable;;;;;Responsable2;;RICARD VERNEDAS I LAPKO;RICARDV;NO TITULAR;ricardv@mapfre.com;;;;;;;;;;;;;;;;
L10318;BILBAO - Urb. SIMON BOLIVAR;6582;4812;6582;48;PAIS VASCO;04;NORTE;48;PAIS VASCO;5230315;OFICINAS TRADICIONALES;DELEGADA;;;SIMÓN BOLIVAR;27;;48013;48;VIZCAYA/BIZKAIA;48013;BILBAO;944395090;;;944416301;lminayo@mapfre.com;09:00 14:00 16:00 19:00;09:00 14:00  ;; ;   ;   ;; ;N;;;;;2108;FINISLASHER, S.L.  ;;Responsable;;;;;Responsable2;;CAMILLA TEIXEIRA E SILVA;TSCAMIL;NO TITULAR;tscamil@mapfre.com;ISABEL MARTINEZ RODRIGUEZ;MRISAB5;NO TITULAR;mrisab5@mapfre.com;MANUEL ALVAREZ RINCÓN;MALV11;NO TITULAR;MALV11@MAPFRE.COM;ALFONSO ABASCAL GARCIA;AGAR18;NO TITULAR;AGAR18@mapfre.com;LYDIA MINAYO ALVAREZ;LYDMINA;NO TITULAR;LYDMINA@mapfre.com
L10318;BILBAO - Urb. SIMON BOLIVAR;6582;4812;6582;48;PAIS VASCO;04;NORTE;48;PAIS VASCO;5230315;OFICINAS TRADICIONALES;DELEGADA;;;SIMÓN BOLIVAR;27;;48013;48;VIZCAYA/BIZKAIA;48013;BILBAO;944395090;;;944416301;lminayo@mapfre.com;09:00 14:00 16:00 19:00;09:00 14:00  ;; ;   ;   ;; ;N;;;;;43587;LUIS MINAYO CONDE;LMINAYO;Responsable;lminayo@mapfre.com;;;;Responsable2;;CAMILLA TEIXEIRA E SILVA;TSCAMIL;NO TITULAR;tscamil@mapfre.com;ISABEL MARTINEZ RODRIGUEZ;MRISAB5;NO TITULAR;mrisab5@mapfre.com;MANUEL ALVAREZ RINCÓN;MALV11;NO TITULAR;MALV11@MAPFRE.COM;ALFONSO ABASCAL GARCIA;AGAR18;NO TITULAR;AGAR18@mapfre.com;LYDIA MINAYO ALVAREZ;LYDMINA;NO TITULAR;LYDMINA@mapfre.com
L10321;VALMOJADO;7036;4553;7036;45;TOLEDO - CUENCA -CIUDAD REAL;07;CENTRO;45;TOLEDO - CUENCA -CIUDAD REAL;5259007;OFICINAS TRADICIONALES;DELEGADA;AVD;AVENIDA;CASTILLA LA MANCHA;17;;45940;45;TOLEDO;45940;VALMOJADO;918133157;;;918139093;DUBISEL@mapfre.com;09:30 14:00 14:00 17:00;09:30 14:00 14:00 17:00;; ;   ;   ;; ;N;;;HORARIO CONTINUO;;298403;DUVIS ELENA GOMEZ DEL ARCO;DUBISEL;Responsable;DUBISEL@MAPFRE.COM;;;;Responsable2;;ANTONIO LOPEZ LOPEZ;LOPEZL5;NO TITULAR;LOPEZL5@mapfre.com;;;;;;;;;;;;;;;;
L10335;HUESCA - Urb. MENENDEZ PIDAL;2263;2216;2263;50;ARAGON;04;NORTE;50;ARAGON;5232750;OFICINAS TRADICIONALES;DELEGADA;CL;CALLE;MENENDEZ PIDAL;13;;22004;22;HUESCA;22004;HUESCA;974242700;;615977881;974242689;mtcuell@mapfre.com;09:00 14:00 15:30 18:30;09:00 14:00 15:30 18:30;; ;08:00 15:00  ;08:00 15:00  ;; ;S;15-JUN-2018;15-SEP-2018;;;51215;M.TERESA CUELLO HERNANDEZ;MTCUELL;Responsable;mtcuell@mapfre.com;;;;Responsable2;;ANA BANZO HINOJOSA;ANABANZ;NO TITULAR;anabanz@mapfre.com;;;;;;;;;;;;;;;;
